year,ZALOPHUS.PUPCT,ZALOPHUS.PUPWT,ZALOPHUS.PUPGROWTH,SBRD.ASSP.PROD,SBRD.BRCO.PROD,SBRD.CAAU.PROD,SBRD.COMU.PROD,SBRD.PECO.PROD,SBRD.PIGO.PROD,SBRD.RHAU.PROD,SBRD.WEGO.PROD,rreas.adu.anchovy,rreas.adu.sardine,rreas.all.yoy.rockfish,rreas.krill,rreas.market.squid,rreas.myctophids,rreas.octopus,rreas.yoy.anchovy,rreas.yoy.bocaccio,rreas.yoy.chili,rreas.yoy.hake,rreas.yoy.halfbanded,rreas.yoy.lingcod,rreas.yoy.pacdabs,rreas.yoy.sardine,rreas.yoy.shortbelly,rreas.yoy.speckdabs,rreas.yoy.widow,rreas.yoy.ytail,calcofi.bathylagoides.wesethi,calcofi.bathylagus.pacificus,calcofi.ceratoscopelus.townsendi,calcofi.engraulis.mordax,calcofi.leuroglossus.stilbius,calcofi.lipolagus.ochotensis,calcofi.merluccius.productus,calcofi.protomyctophum.crockeri,calcofi.sardinops.sagax,calcofi.stenobrachius.leucopsarus,calcofi.symbolophorus.californiensis,calcofi.tarletonbeania.crenularis,calcofi.triphoturus.mexicanus,calcofi.vinciguerria1
1990,,,,0.24472693,-0.6316714,-0.415452371,0.127387725,-1,-0.5250302,-0.180246914,-0.130913091,9.22200167,3.154138929,8.718931654,15.02354189,8.026009073,10.62403098,5.202100463,7.707274179,4.530902878,5.30365329,11.31863458,4.232290692,5.494046777,6.809464698,,8.258206668,6.98732455,5.537639334,3.723286945,3.330307249,0.782044983,1.429180493,548.792012,97.69070749,20.8904004,106.6861379,4.904791038,80.66500466,34.77226821,2.781577331,1.414755912,1.834584587,1.276390398
1991,,,,0.27469746,0.4857601,-0.165289256,0.181848666,0.689320388,0.47478406,-0.037037037,-0.006256876,1.152701378,1.980860225,8.360752954,16.26478994,9.873040505,9.620452454,5.174077623,6.625657745,5.373403107,6.859606095,11.0232589,1.98660987,5.616279055,7.481591851,,7.365912981,7.917137999,6.747974246,5.830868508,3.736413832,0.777609636,2.969669821,320.0128213,92.18091735,23.32661479,52.2097298,6.984679258,81.91020329,47.68065906,2.485088099,2.821702577,2.498133658,8.595631789
1992,,,,0.12212021,-1.4237612,-0.483199217,-0.616911799,-0.980582524,-0.4636389,0.165432099,-0.464865237,9.871964404,1.827451504,9.400753029,15.19786353,9.859266818,11.43051629,3.348472857,10.73132943,2.711075407,6.480295377,9.510454633,1.400066606,,6.26623543,,9.375101329,6.241465396,1.069551392,3.151047301,3.367713062,0.694896041,1.983578656,95.05745227,12.81315857,8.665750148,76.83172295,4.131518752,26.46648091,37.02014638,5.87319498,1.206418159,2.053932116,11.73230803
1993,,,,0.07852671,-0.8287394,-0.164745542,0.057108829,-1,-0.3194483,-0.120987654,-0.298473597,9.971446197,1.093378396,8.878085006,15.79792833,8.276444896,11.49289679,5.389759214,11.48458541,3.9150093,8.919564658,14.43775429,2.071149968,5.569040013,8.720521689,,7.910295418,7.110508706,5.278862996,3.949826444,2.483955212,0.409696905,2.832051801,172.2683127,28.84913864,10.10368723,14.29803746,3.011677134,43.87079362,34.96531934,3.123214858,0.410134023,2.497825103,11.19861446
1994,,,,0.0403824,1.24371994,0.25592649,0.122369456,-0.106796117,-0.2991084,0.04691358,-0.132081958,9.290648583,5.916867265,7.508461107,16.19485581,8.047116663,10.89315685,5.450972127,12.28723199,3.109425203,2.769570148,11.43008607,2.509890396,3.90927055,8.390871408,,7.464374428,7.067911301,4.04422893,2.774852852,2.864044765,0.134762272,2.487261127,266.0975465,23.77356067,9.211959787,24.4670523,4.013927775,46.451913,65.97018293,4.163630799,1.103031677,1.514527709,7.400191998
1995,,,,-0.0713259,0.50530656,0.006143976,0.138834929,0.242718447,0.05126776,-0.051851852,-0.076870187,10.6681516,8.884990073,6.323669383,15.60275556,9.20804243,9.838440345,6.6452275,9.148198875,2.911246506,4.18269316,9.062188801,,5.106780252,6.495208698,4.024456234,6.08487888,6.275582032,3.903555978,3.78031579,5.348384738,0.584098757,6.266279287,221.3501532,11.20249217,2.189685707,25.66928316,3.206157128,26.24852504,17.97561307,2.51712102,1.311722205,3.109714824,22.90600249
1996,,,,-0.0386308,0.77597923,0.063288386,-0.083888349,-0.86407767,-0.3200984,-0.10617284,-0.452076458,5.693331642,5.96738568,8.057847777,15.06291604,7.679592732,11.09122355,3.880568694,10.37843496,2.182544106,4.401198256,11.31741556,3.410043927,4.309613701,7.963082315,,7.980884312,6.948865433,,0.963878596,3.372936939,0.298867293,5.026763878,156.845832,56.54089074,9.076033066,30.83390549,5.247605101,182.7235878,35.35803757,2.851149601,0.344590198,2.407758083,14.48779744
1997,19506,14.672,0.014,-0.1121948,0.4700313,-0.175293606,0.052067434,-0.067961165,-0.1244079,-0.017283951,-0.410753575,8.902992387,7.874497963,7.380654022,15.52603138,8.919199394,9.442234356,5.204831018,11.04995757,3.062003883,4.268175089,11.22424288,5.246524979,3.085871853,7.042694597,3.805680033,7.051432137,6.163348498,4.183509111,2.981832746,8.680219595,0.193779564,2.322544719,59.8656194,41.62150137,4.061420854,22.8596855,6.014169168,251.3429338,27.60540337,2.987216558,0.481761967,4.403449283,12.84411871
1998,9428,13.021,0.078,-0.0794997,-1.0072536,0.05230535,-0.306472874,-0.922330097,-0.7431504,-0.441975309,-0.48040429,9.184524929,7.805991183,5.116629123,12.92972529,4.946351081,10.011153,2.479060677,5.890206678,1.278922788,2.526112987,9.282767366,,1.776221701,2.995855635,6.856119764,5.049449195,3.470998908,1.319281252,2.644086131,8.588422727,0.547409492,8.627458824,127.2506407,14.15637072,8.143464417,2.301858343,4.817746445,248.4534248,18.07681777,4.829455589,0.369853169,5.479640272,32.58855353
1999,20071,18.183,0.076,-0.1912081,0.9932809,0.109395389,0.117513066,0.262135922,0.34940095,0.04691358,-0.702970297,9.596318577,6.462872824,6.051749773,14.53430058,6.891258226,8.504656523,2.867802334,4.312129455,3.203716262,4.702979498,11.27188162,1.051610754,5.403751841,7.009101322,1.753122785,5.319069479,6.353169971,4.194605969,0.679232471,1.42394544,0.3188584,2.232783157,98.46833647,30.15692309,9.24333837,6.417346412,4.410323128,315.247594,49.11528398,3.237357972,1.735547114,1.139865271,4.202397133
