Year,Month,Area,Max,x,y
1984,4,6812149.138,1026.781006,17.73038516,28.7746077
1984,5,5811924.231,1024.867554,18.07742998,29.39209226
1984,6,5680592.351,1025.27356,16.90115321,31.75123558
1984,7,4068506.684,1026.151367,15.18859649,34.0745614
1984,8,4250893.761,1025.108521,14.91044776,33.39445629
1984,9,1224563.553,1020.895874,14.51552795,33.69565217
1984,10,2764486.059,1023.319214,22.83774834,29.50662252
1984,11,3900111.997,1022.91626,17.55036855,26.4963145
1984,12,3385066.993,1023.9151,18.48525469,31.84450402
1985,1,1150489.659,1022.728577,30.3381295,33.05035971
1985,2,4989356.643,1028.239258,21.71455224,31.57089552
1985,3,6584164.978,1031.245728,17.20375723,30.95809249
1985,4,5692542.32,1024.487549,17.6286645,32.04071661
1985,5,5334744.626,1025.727051,16.03304348,32.08347826
1985,6,4161110.31,1022.87915,16.12095032,33.43196544
1985,7,4588288.073,1025.292236,15.06732673,33.27326733
1985,8,4456851.779,1029.333008,15.16904277,33.48065173
1985,9,3262866.607,1028.605835,14.67024129,35.0080429
1985,10,3887113.333,1024.671997,15.24137931,33.89655172
1985,11,845768.5164,1021.034668,26.17699115,35.17699115
1985,12,817010.3431,1021.930176,31.50961538,32.09615385
1986,1,32550.4441,1020.431396,33.63636364,26.81818182
1986,2,22184.33518,1019.420166,33.57142857,24.28571429
1986,3,385607.9632,1020.661926,30.8627451,24.8627451
1986,4,6166973.507,1029.29895,17.04261796,31.7716895
1986,5,3576570.457,1022.836304,16.50259067,29.74870466
1986,6,3821214.206,1024.13208,14.05238095,31.81428571
1986,7,5433209.073,1027.891602,16.64965986,32.61394558
1986,8,3501692.612,1024.075928,15.3627204,34.29471033
1986,9,2425385.93,1025.550293,17.11619718,35.3028169
1986,10,0,1019.510559,25,30
1986,11,4723999.535,1026.277222,19.3120155,32.2751938
1986,12,915656.0903,1020.945313,29.23423423,28.43243243
1987,1,3044874.904,1022.856506,22.27514793,26.78402367
1987,2,0,1019.528748,28,30
1987,3,21801.52619,1019.808838,32.28571429,25.85714286
1987,4,4227166.508,1024.749756,16.49122807,29.55482456
1987,5,3935887.959,1025.658691,16.35555556,33.80444444
1987,6,5321414.24,1024.852417,16.68596491,31.28421053
1987,7,4225217.838,1026.605713,13.93103448,33.07543103
1987,8,3032042.161,1026.180176,18.875,34.84090909
1987,9,3071756.043,1022.329346,19.49311295,34.04132231
1987,10,1933667.423,1021.555176,13.12916667,33.91666667
